Datum,Cena
02-01,135.5
03-01,135.78
04-01,135.88
05-01,135.76
08-01,135.95
09-01,136.14
10-01,137.72
11-01,137.56
12-01,138.26
16-01,137.95
17-01,137
18-01,136.62
19-01,138.75
22-01,137.64
23-01,138.22
24-01,139.85
25-01,138.76
26-01,139.07
29-01,139.58
30-01,138.42
31-01,134.61
01-02,137.43
02-02,137.82
05-02,136
06-02,135.47
07-02,136.04
08-02,137
09-02,138.6
12-02,140.41
13-02,136.83
14-02,139.79
15-02,143.24
16-02,144.12
20-02,141.77
21-02,140.66
22-02,142.38
23-02,143.5
26-02,142.59
27-02,142.58
28-02,138.82
29-02,140.58
01-03,139.08
04-03,140.45
05-03,137.66
06-03,137.14
07-03,135.94
08-03,135.63
11-03,134.94
12-03,136.44
13-03,135.97
14-03,136.96
15-03,134.45
18-03,134.15
19-03,131.67
20-03,133.36
21-03,132.5
22-03,132.9
25-03,131.63
26-03,130.39
27-03,131.05
28-03,132.18
01-04,132.82
02-04,132.99
03-04,132.18
04-04,133.2
05-04,129.22
08-04,130.29
09-04,130.49
10-04,129.9
11-04,129.08
12-04,128.53
15-04,128.21
16-04,127.72
17-04,126.87
18-04,127.09
19-04,126.05
22-04,127.74
23-04,127.3
24-04,126.5
25-04,128.49
26-04,126.72
29-04,127.65
30-04,127.39
01-05,126.64
02-05,128.74
03-05,129.12
06-05,129.99
07-05,130.47
08-05,127.09
09-05,125.27
10-05,126.16
13-05,127.43
14-05,125.95
15-05,127.15
16-05,128.08
17-05,128.14
20-05,127.54
21-05,127.65
22-05,129.2
23-05,135.47
24-05,134.27
28-05,133.2
29-05,131.28
30-05,131.61
31-05,131.21
03-06,132.88
04-06,132.48
05-06,136.93
06-06,137.9
07-06,138
10-06,136.17
11-06,135.32
12-06,137.02
13-06,135.68
14-06,135.58
17-06,135.63
18-06,137.73
20-06,137.77
21-06,138.4
24-06,139.5
25-06,141.01
26-06,140.22
27-06,141.21
28-06,139.91
